id,question_type,question,gold_accessions,retrieved_accessions,retrieval_precision,retrieval_recall,answer_recall,success,answer
function_val_0128,function_to_protein,Which proteins have functions related to metabolism?,P07998;O95571;O15162;O43598;A2RUC4,P00505;P09467;A0A0C5B5G6;P05177;O43826;O14843;O95479;P00374;O14975;P04406;O60568;O95571;O14561;P0C024;O14949;C9JRZ8;O94808;O95248;O43866;O43865;A1L3X0;O14957;O00330;O75503;O95750;P00846;A6NFY7;P01308;P09936;O95470;O95394;O15520;O00506;O00624,0.029411764705882353,0.2,0.2,1.0,"**Direct Matches**  1. GOT2 KYAT4 - Catalyzes the irreversible transamination of L-kynurenine to form kynurenic acid. 2. FBP1 FBP - Catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate in glycolysis. 3. GFPT2 - Catalyzes the formation of glucosamine-6-phosphate from fructose-6-phosphate in the hexosamine biosynthetic pathway.  **Possible Related (ESM-2)**  1. PGM3 AGM1 - Catalyzes the conversion of GlcNAc-6-P into GlcNAc-1-P during the synthesis of UDP-GlcNAc. 2. FGF10 - Plays a crucial role in regulating cell proliferation and differentiation, similar to MT-RNR1's regulation of metabolic homeostasis."
function_val_0029,function_to_protein,Which human proteins are involved in DNA repair?,O60814;O14757;P00519;O43581;O94762,O60921;O43543;O00487;P0C5Z0;O95714;P0C0S8;P06899;O94762;O15511;O15541;O60814;O75367;A4GXA9;P09884;O60264;O75190;O60884;O43913;P05204;O60729;O94805;O14757;P07910;O43598;A8MW99;O00115;O95260;P02511;P07305;O00712;A0JNW5;O75679;O75390;O76075;A7E2V4,0.08571428571428572,0.6,0.6,1.0,"**Direct Matches**  1. HUS1 - Component of the 9-1-1 cell-cycle checkpoint response complex that plays a major role in DNA repair. 2. XRCC2 - Involved in the homologous recombination repair (HRR) pathway of double-stranded DNA, thought to repair chromosomal fragmentation, translocations and other DNA lesions. 3. PSMD14 POH1 - Component of the 26S proteasome complex involved in the ATP-dependent degradation of ubiquitinated proteins that may regulate DNA damage response.  **Possible Related (ESM-2) Candidates**  1. BLTP3B KIAA0701 SHIP164 UHRF1BP1L - Involved in lipid transfer and tube formation, which might be related to DNA repair mechanisms. 2. RFPL3 - Stimulates the activity of HIV-1 pre-integration complex, possibly related to DNA repair and viral replication processes.  Note that ESM-2 candidates are less directly related to DNA repair than Direct Matches, but may have connections through other biological pathways or functions."
function_val_0046,function_to_protein,Name human proteins associated with transcription.,O43474;O94993;P0C5Z0;O14979;P09874,O14979;O00268;O75132;O00712;O75486;O60381;O15446;O00409;O75558;O00507;O75077;A6H8Y1;A9UHW6;O75319;O15400;O00422;C9JLW8;O14744;O15318;O75175;O95996;O60548;O60393;O96004;O60284;O75151;P07910;O15116;O43913;O60315;O75618,0.03225806451612903,0.2,0.2,1.0,"**Direct Matches**  * HNRNPDL: Acts as a transcriptional regulator, promoting both transcription repression and activation in differentiated myotubes. * TAF4: Is a subunit of the TFIID basal transcription factor complex that plays a major role in the initiation of RNA polymerase II-dependent transcription. * ZBED4: Transcriptional regulator that binds to poly-guanine tracts in gene promoters, activating transcription. * NFIB: Recognizes and binds the palindromic sequence CCAAT-box and activates transcription. * SUPT3H: Probable transcriptional activator with an MIF4G domain. * HBP1: Transcriptional repressor that binds to the promoter region of target genes, regulating cell cycle and Wnt pathway. * POLR1G: Component of RNA polymerase I, involved in DNA-dependent RNA polymerase synthesis. * FOXN3: Acts as a transcriptional repressor, possibly involved in DNA damage-inducible cell cycle arrests. * PRMT5: Arginine methyltransferase that regulates gene expression by modifying histones and non-histone proteins.  **Possible Related (ESM-2)**  * DEDD: May play a role in regulating transcription through its interaction with CASP3 and other substrates. * DEFT: A scaffold protein involved in ordered degradation during apoptosis, possibly influencing transcriptional regulation."
function_val_0152,function_to_protein,Which proteins have functions related to cell adhesion?,P08865;O75309;P05362;P06756;O94985,O95782;P08670;O94985;P05362;O95049;O43155;O60469;O75309;O75334;O14910;O00506;O95990;O00622;O15551;A1A4S6;O15511;P07942;O75558;O00214;O15400;P01909;O15389;O43865;O43323;P09936;P02511;P00519;O14613;P01732;P04626;O95373;P07197;O75339;P01877;O14640,0.08571428571428572,0.6,0.6,1.0,"**Direct Matches**  1. AP2A1 - Adaptor protein complex 2 (AP-2) functions in cell adhesion through its role in transporting vesicles containing adhesion molecules to the plasma membrane. 2. ICAM1 - As a cell adhesion molecule, ICAM1 plays a crucial role in mediating cell-cell interactions and signals between immune cells. 3. TJP3 - Tight junction protein 3 links tight junction transmembrane proteins such as claudins, facilitating cell-cell adhesion. 4. DSCAM - Cell adhesion molecule DSCAM promotes repulsion between specific neuronal processes of the same cell.  **Possible Related (ESM-2)**  1. IPO7 RANBP7 - Functions in nuclear protein import and may interact with AP2A1-like proteins, potentially influencing cell adhesion. 2. NEFM - Neurofilament medium polypeptide contributes to the maintenance of neuronal caliber and may indirectly affect cell-cell interactions.  Note: These ESM-2 candidates are similar to the listed direct matches but have not been confirmed to directly participate in cell adhesion processes."
function_val_0054,function_to_protein,List proteins that play a role in transcription.,O95905;P04626;O60548;C9JLW8;P04198,O14979;O00268;O15318;O75175;O00712;O15446;A6H8Y1;O75319;O00422;O75177;O94762;O15370;O60381;O75151;A7MD48;O75132;O75344;O75486;O75558;C9JLW8;P0C5Z0;P07998;A1L3X0;O43310;O43865;O60548;P07910;O94993;O43719;O75821;P09884;O95208;O00409,0.06060606060606061,0.4,0.4,1.0,"**Direct Matches**  * HNRNPDL: Acts as a transcriptional regulator, promoting both transcription repression and activation. * TAF4: Plays a major role in the initiation of RNA polymerase II-dependent transcription as part of the TFIID complex. * POLR3G: Catalyzes DNA-directed transcription into RNA using ribonucleoside triphosphates as substrates. * NFIB: Transcriptional activator that recognizes and binds to the palindromic sequence required for GFAP expression.  **Possible Related (ESM-2)**  * POLA1: Similar to POLR3G, as it catalyzes DNA-directed transcription into RNA, highlighting a possible relationship in their roles. * EPN2: Similar to CNOT3 KIAA0691 LENG2 NOT3, as all three are involved in mRNA deadenylases and may play related roles in transcriptional regulation."
function_val_0072,function_to_protein,Which proteins have functions related to kinase activity?,A3KN83;O95248;O15259;O43566;P02776,O00506;O15111;P00519;A7MCY6;O00329;O60729;O75815;P09769;O00444;O14654;O43823;O95248;O14910;O94805;O43865;O00165;O95782;O60635;O75956;O00487;O95544;O75503;A1A4S6;P04626;O43294;O00291;O14757;P08922;O95470;P01597;O94964;O75679,0.03125,0.2,0.2,1.0,"**Direct Matches**  * STK25 SOK1 YSK1: This serine/threonine-protein kinase is involved in oxidant stress-activated signaling pathways, indicating its role in kinase activity. * CHUK IKKA TCF16: As an inhibitor of nuclear factor kappa-B kinase subunit alpha, it suggests involvement in phosphorylation and signaling processes characteristic of kinases. * PLK4 SAK STK18: As a serine/threonine-protein kinase involved in centriole duplication, its kinase activity is crucial for cell division and proliferation. * CHEK1 CHK1: This serine/threonine-protein kinase plays a key role in checkpoint-mediated cell cycle arrest and activation of DNA repair, indicating its involvement in kinase activity.  **Possible Related (ESM-2)**  * MTCL2 C20orf117 KIAA0889 SOGA: Although similar to TBKBP1 in some respects, this microtubule cross-linking factor also shows structural similarities with kinases and has roles that intersect with kinase functions. * RFPL3: Similar to PIK3CD, this protein exhibits unique functionality related to microbial infections, potentially involving kinase-like activity or regulation."
function_val_0103,function_to_protein,Find proteins connected to signal transduction.,P06734;O75928;O42043;O14907;O75882,O75558;A2RUC4;A4D1B5;O00268;O75177;P09874;P02748;P09668;O00712;O60568;O15269;O75151;O75674;P01909;O00422;O95427;O60909;P09936;O14908;P07384;O60235;P01825;O15446;O95996;O60879;O75752;O14843;O75821;P02745;O94808;O75935;O95876;O60548;O14497,0.0,0.0,0.0,0.0,"**Direct Matches**  * GSAP PION: Regulates gamma-secretase activity, which specifically activates the production of amyloid-beta protein, a key component in signal transduction pathways. * PARP1 ADPRT PPOL: Involved in DNA repair and plays a key role in signal transduction by regulating cellular responses to DNA damage.  **Possible Related (ESM-2)**  * DCTN3 DCTN22: Part of the dynactin complex that activates molecular motors, which is essential for ultra-processive transport along microtubules involved in signal transduction. * FOXD2 FKHL17 FREAC9: Probable transcription factor involved in embryogenesis and somatogenesis, which is a crucial aspect of cellular signaling and response to external cues."
function_val_0117,function_to_protein,Find proteins connected to oxidative stress.,P05177;A0A0C5B5G6;O14548;P00519;P08253,O95571;P04179;O14618;O14949;P00505;O00487;O75390;O43865;P05177;O14957;A6NFY7;O14561;O60568;O95361;O43181;A2RUC4;P00374;O95881;A0A0C5B5G6;O00506;O14548;O43598;P0C024;A1L3X0;O15247;O14756;P09936;O95154;O43808;O75077;O00116;O75879;O95298;O95470,0.08823529411764706,0.6,0.6,1.0,"**Direct Matches**  1. ETHE1 HSCO - This protein plays a crucial role in hydrogen sulfide catabolism, which is a key process affected by oxidative stress. 2. SOD2 - As a superoxide dismutase, this protein directly destroys toxic superoxide anion radicals that contribute to oxidative stress.  **Possible related (ESM-2)**  1. AGPS AAG5 - This enzyme catalyzes the exchange of acyl chains in acyl-dihydroxyacetonephosphate, which is involved in the regulation of long-chain fatty acid metabolism and may be affected by oxidative stress. 2. GATB PET112 PET112L HSPC199 - As a glutamyl-tRNA(Gln) amidotransferase subunit, this protein is involved in the transamidation of misacylated Glu-tRNA(Gln), which can be impacted by oxidative stress and related cellular damage."
function_val_0074,function_to_protein,Find proteins connected to kinase activity.,P09038;P04626;P00519;O60729;O14519,O00506;O15111;A7MCY6;P00519;O00329;O60729;O43823;O95544;O76039;O75815;O00444;P08253;O75503;O94805;O14654;O14519;O00505;O60307;O00487;O75151;O75956;P09769;O43865;O14757;O14910;P01597;O14907;O94768;P09936;O14744;O94964;O75679,0.09375,0.6,0.6,1.0,"**Direct Matches**  * STK25 SOK1 YSK1: Directly mentioned as a serine/threonine-protein kinase with EC number 2.7.11.1. * CHUK IKKA TCF16: Directly mentioned as an inhibitor of nuclear factor kappa-B kinase subunit alpha, which is involved in kinase activity. * CDC14B: Directly mentioned as a dual-specificity phosphatase that involves protein kinases in DNA damage response. * STK9 (Cyclin-dependent kinase-like 5): Directly mentioned as a serine/threonine-protein kinase with EC number 2.7.11.22. * PLK4 SAK STK18: Directly mentioned as a serine/threonine-protein kinase with EC number 2.7.11.21.  **Possible Related (ESM-2)**  * MTCL2 C20orf117 KIAA0889 SOGA: Similar to TBKBP1, which is involved in the regulation of kinase activity through protein-protein interactions. * RFPL3 (Ret finger protein-like 3): Similar to PIK3CD, which is a phosphoinositide-3-kinase with kinase activity."
function_val_0059,function_to_protein,Which human proteins are involved in transcription?,O60678;O15078;P08253;O60315;O00712,O14979;O00268;O00712;O15318;P07910;O15446;O00422;A6H8Y1;O60381;O75175;O75132;O75558;P0C5Z0;O75486;A9UHW6;O96004;O75151;O75319;O14744;C9JLW8;O15400;O75177;O00507;O43719;O15541;O95758;O43310;O75554;O94993;O94805;O60548;O00409;P09884,0.030303030303030304,0.2,0.2,1.0,"**Direct Matches**  * HNRNPDL: Acts as a transcriptional regulator and promotes transcription repression. * TAF4: The TFIID basal transcription factor complex plays a major role in the initiation of RNA polymerase II-dependent transcription. * NFIB: Transcriptional activator that recognizes and binds the palindromic sequence. * POLR3G: DNA-directed RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates.  **Possible Related (ESM-2)**  * FOXD2 FKHL17 FREAC9: Involved in embryogenesis and somatogenesis, suggesting a role in transcriptional regulation. * FOXN3 C14orf116 CHES1: Acts as a transcriptional repressor, implying involvement in transcriptional regulation."
